Nuclide ; Th-230 
Element ; Thorium
Z ; 90
Daughter(s) ; (alpha) ; Ra-226 ; 100
Qalpha ; 4770
Possible parent(s) ; (alpha) ; U-234 ; 100
Half-life (a) ; 75.38E3 ; 0.30E3
Half-life (s) ; 2.379E12 ; 0.009E12
Decay constant (1/s) ; 291.4E-15 ; 1.2E-15
Specific activity (Bq/g) ; 763.0E6 ; 3.0E6
Reference ; NDS 77, 433 - 1996
Emissions (27 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
14.489 ;  ; 7.9 ; 0.5 ; XL ; Ra ;  ;  ; 
67.67 ; 0.01 ; 0.38 ; 0.03 ; g ; Ra-226 ; 1 ; 0 ; 
67.81 ; 0.06 ; 0 ;  ; g ; Ra-226 ; 4 ; 3 ; 
85.43 ;  ; 0.0042 ; 0.0004 ; XKa2 ; Ra ;  ;  ; 
88.47 ;  ; 0.0069 ; 0.0006 ; XKa1 ; Ra ;  ;  ; 
100.1 ;  ; 0.00242 ; 0.00019 ; XK'b1 ; Ra ;  ;  ; 
103.3083 ;  ; 0.00079 ; 0.00007 ; XK'b2 ; Ra ;  ;  ; 
110.00 ; 0.06 ; 0.000060 ; 0.000006 ; g ; Ra-226 ; 4 ; 2 ; 
124.76 ; 0.21 ; 0.00000028 ; 0.00000014 ; g ; Ra-226 ; 6 ; 4 ; 
143.870 ; 0.022 ; 0.049 ; 0.004 ; g ; Ra-226 ; 2 ; 1 ; 
186.060 ; 0.014 ; 0.0088 ; 0.0007 ; g ; Ra-226 ; 3 ; 1 ; 
204.96 ; 0.30 ; 0.0000052 ; 0.0000013 ; g ; Ra-226 ; 5 ; 2 ; 
234.76 ; 0.20 ; 0.0000084 ; 0.0000019 ; g ; Ra-226 ; 6 ; 2 ; 
253.73 ; 0.01 ; 0.0111 ; 0.0008 ; g ; Ra-226 ; 3 ; 0 ; 
253.87 ; 0.06 ; 0.00085 ; 0.00010 ; g ; Ra-226 ; 4 ; 1 ; 
552.16 ; 0.12 ; 0.00000055 ; 0.00000009 ; g ; Ra-226 ; 8 ; 4 ; 
570.87 ; 0.10 ; 0.0000033 ; 0.0000005 ; g ; Ra-226 ; 7 ; 3 ; 
619.97 ; 0.10 ; 0.00000080 ; 0.00000013 ; g ; Ra-226 ; 8 ; 3 ; 
3829.4 ; 1.7 ; 0.0000014 ;  ; a ; Th-230 ; 0 ; 8 ; 
3877.8 ; 1.6 ; 0.0000034 ;  ; a ; Th-230 ; 0 ; 7 ; 
4248.5 ; 1.6 ; 0.0000103 ; 0.0000022 ; a ; Th-230 ; 0 ; 6 ; 
4278.3 ; 1.7 ; 0.000008 ; 0.000002 ; a ; Th-230 ; 0 ; 5 ; 
4371.8 ; 1.6 ; 0.00097 ; 0.00013 ; a ; Th-230 ; 0 ; 4 ; 
4438.4 ; 1.6 ; 0.030 ; 0.015 ; a ; Th-230 ; 0 ; 3 ; 
4479.8 ; 1.6 ; 0.12 ;  ; a ; Th-230 ; 0 ; 2 ; 
4620.5 ; 1.5 ; 23.4 ; 0.1 ; a ; Th-230 ; 0 ; 1 ; 
4687.0 ; 1.5 ; 76.3 ; 0.3 ; a ; Th-230 ; 0 ; 0 ; 
==================================================================================================================
